map_index,original_name,corrected_name,family,doubtful,identified_by_sight,spp,has_map,map
1,Struthio camelus,,Struthionidae,FALSE,FALSE,FALSE,TRUE,oiseaux_de_senegambie_Page_031_1
2,Podiceps ruficollis,,Podicipedidae,FALSE,FALSE,FALSE,TRUE,oiseaux_de_senegambie_Page_031_2
3,Podiceps nigricollis,,Podicipedidae,FALSE,TRUE,FALSE,TRUE,oiseaux_de_senegambie_Page_031_3
4,Podiceps cristatus,,Podicipedidae,FALSE,TRUE,FALSE,TRUE,oiseaux_de_senegambie_Page_031_4
5,Procellaria diomedea,,Procellariidae,FALSE,TRUE,FALSE,FALSE,
6,Procellaria gravis,,Procellariidae,FALSE,FALSE,FALSE,FALSE,
7,Procellaria grisea,,Procellariidae,FALSE,TRUE,FALSE,FALSE,
8,Procellaria puffinus,,Procellariidae,FALSE,TRUE,FALSE,FALSE,
9,Procellaria assimilis,puffinus boydi,Procellariidae,FALSE,TRUE,FALSE,FALSE,
10,Bulweria bulwerii,,Procellariidae,FALSE,TRUE,FALSE,FALSE,
11,Oceanites oceanicus,,Hydrobatidae,FALSE,FALSE,FALSE,FALSE,
12,Oceanites marinus,Pelagodroma marina,Hydrobatidae,FALSE,TRUE,FALSE,FALSE,
13,Hydrobates pelagicus,,Hydrobatidae,FALSE,TRUE,FALSE,FALSE,
14,Hydrobates castro,,Hydrobatidae,FALSE,TRUE,FALSE,FALSE,
15,Hydrobates leucorhoa,,Hydrobatidae,FALSE,TRUE,FALSE,FALSE,
16,Phaethon aethereus,,Phaethontidae,FALSE,TRUE,FALSE,TRUE,oiseaux_de_senegambie_Page_033_1
17,Pelecanus onocrotalus,,Pelecanidae,FALSE,FALSE,FALSE,TRUE,oiseaux_de_senegambie_Page_033_2
18,Pelecanus rufescens,,Pelecanidae,FALSE,FALSE,FALSE,TRUE,oiseaux_de_senegambie_Page_033_3
19,Sula bassana,,Sulidae,FALSE,FALSE,FALSE,FALSE,
20,Sula leucogaster,,Sulidae,FALSE,FALSE,FALSE,FALSE,
21,Phalacrocorax carbo,,Phalacrocoracidae,FALSE,FALSE,FALSE,TRUE,oiseaux_de_senegambie_Page_034_1
22,Phalacrocorax africanus,,Phalacrocoracidae,FALSE,FALSE,FALSE,TRUE,oiseaux_de_senegambie_Page_034_2
23,Anhinga rufa,,Anhingidae,FALSE,FALSE,FALSE,TRUE,oiseaux_de_senegambie_Page_034_3
24,Fregata magnificens,,Fregatidae,FALSE,TRUE,FALSE,FALSE,
